
Subcategorías detectadas en [Bebidas y Licores]: 222
 - Aguas | Aguas -> https://www.unimarc.cl/category/bebidas-y-licores/aguas
 - Bebidas | Jugos colación -> https://www.unimarc.cl/category/bebidas-y-licores/jugos/jugos-colacion
 - Bebidas | Cervezas -> https://www.unimarc.cl/category/bebidas-y-licores/cervezas
 - Bebidas | Cerveza nacional -> https://www.unimarc.cl/category/bebidas-y-licores/cervezas/cerveza-nacional
 - Bebidas | Cerveza importada -> https://www.unimarc.cl/category/bebidas-y-licores/cervezas/cerveza-importada
 - Bebidas | Cerveza artesanal -> https://www.unimarc.cl/category/bebidas-y-licores/cervezas/cerveza-artesanal
 - Bebidas | Cerveza sin alcohol -> https://www.unimarc.cl/category/bebidas-y-licores/cervezas/cerveza-sin-alcohol
 - Bebidas | Vinos y espumantes -> https://www.unimarc.cl/category/bebidas-y-licores/vinos-y-espumantes
 - Bebidas | Vino tinto -> https://www.unimarc.cl/category/bebidas-y-licores/vinos-y-espumantes/vino-tinto
 - Bebidas | Vino blanco -> https://www.unimarc.cl/category/bebidas-y-licores/vinos-y-espumantes/vino-blanco
 - Bebidas | Vino caja -> https://www.unimarc.cl/category/bebidas-y-licores/vinos-y-espumantes/vino-caja
 - Bebidas | Espumantes -> https://www.unimarc.cl/category/bebidas-y-licores/vinos-y-espumantes/espumantes
 - Bebidas | Vinos botellón y otros -> https://www.unimarc.cl/category/bebidas-y-licores/vinos-y-espumantes/vinos-botellon-y-otros
 - Bebidas | Vino Late harvest -> https://www.unimarc.cl/category/bebidas-y-licores/vinos-y-espumantes/vino-late-harvest
 - Bebidas | Vino rosé -> https://www.unimarc.cl/category/bebidas-y-licores/vinos-y-espumantes/vino-rose
 - Bebidas | Destilados y licores -> https://www.unimarc.cl/category/bebidas-y-licores/destilados-y-licores
 - Bebidas | Cóctel -> https://www.unimarc.cl/category/bebidas-y-licores/destilados-y-licores/coctel
 - Bebidas | Piscos -> https://www.unimarc.cl/category/bebidas-y-licores/destilados-y-licores/piscos
 - Bebidas | Ron -> https://www.unimarc.cl/category/bebidas-y-licores/destilados-y-licores/ron
 - Bebidas | Vodka -> https://www.unimarc.cl/category/bebidas-y-licores/destilados-y-licores/vodka
 - Bebidas | Gin -> https://www.unimarc.cl/category/bebidas-y-licores/destilados-y-licores/gin
 - Bebidas | Whisky -> https://www.unimarc.cl/category/bebidas-y-licores/destilados-y-licores/whisky
 - Bebidas | Otros licores -> https://www.unimarc.cl/category/bebidas-y-licores/destilados-y-licores/otros-licores
 - Jugos | Aguas -> https://www.unimarc.cl/category/bebidas-y-licores/aguas
 - Jugos | Agua sin gas -> https://www.unimarc.cl/category/bebidas-y-licores/aguas/agua-sin-gas
 - Jugos | Agua con gas -> https://www.unimarc.cl/category/bebidas-y-licores/aguas/agua-con-gas
 - Jugos | Agua saborizada -> https://www.unimarc.cl/category/bebidas-y-licores/aguas/agua-saborizada
 - Jugos | Bidones -> https://www.unimarc.cl/category/bebidas-y-licores/aguas/bidones
 - Jugos | Bebidas -> https://www.unimarc.cl/category/bebidas-y-licores/bebidas
 - Jugos | Bebidas regulares -> https://www.unimarc.cl/category/bebidas-y-licores/bebidas/bebidas-regulares
 - Jugos | Bebidas light y zero -> https://www.unimarc.cl/category/bebidas-y-licores/bebidas/bebidas-light-y-zero
 - Jugos | Energéticas -> https://www.unimarc.cl/category/bebidas-y-licores/bebidas/energeticas
 - Jugos | Funcionales -> https://www.unimarc.cl/category/bebidas-y-licores/bebidas/funcionales
 - Jugos | Jugos -> https://www.unimarc.cl/category/bebidas-y-licores/jugos
 - Jugos | Jugos frescos -> https://www.unimarc.cl/category/bebidas-y-licores/jugos/jugos-frescos
 - Jugos | Jugos y néctares -> https://www.unimarc.cl/category/bebidas-y-licores/jugos/jugos-y-nectares
 - Jugos | Té líquido -> https://www.unimarc.cl/category/bebidas-y-licores/jugos/te-liquido
 - Jugos | Jugos en polvo -> https://www.unimarc.cl/category/bebidas-y-licores/jugos/jugos-en-polvo
 - Jugos | Jugos colación -> https://www.unimarc.cl/category/bebidas-y-licores/jugos/jugos-colacion
 - Jugos | Cervezas -> https://www.unimarc.cl/category/bebidas-y-licores/cervezas
 - Jugos | Cerveza nacional -> https://www.unimarc.cl/category/bebidas-y-licores/cervezas/cerveza-nacional
 - Jugos | Cerveza importada -> https://www.unimarc.cl/category/bebidas-y-licores/cervezas/cerveza-importada
 - Jugos | Cerveza artesanal -> https://www.unimarc.cl/category/bebidas-y-licores/cervezas/cerveza-artesanal
 - Jugos | Cerveza sin alcohol -> https://www.unimarc.cl/category/bebidas-y-licores/cervezas/cerveza-sin-alcohol
 - Jugos | Vinos y espumantes -> https://www.unimarc.cl/category/bebidas-y-licores/vinos-y-espumantes
 - Jugos | Vino tinto -> https://www.unimarc.cl/category/bebidas-y-licores/vinos-y-espumantes/vino-tinto
 - Jugos | Vino blanco -> https://www.unimarc.cl/category/bebidas-y-licores/vinos-y-espumantes/vino-blanco
 - Jugos | Vino caja -> https://www.unimarc.cl/category/bebidas-y-licores/vinos-y-espumantes/vino-caja
 - Jugos | Espumantes -> https://www.unimarc.cl/category/bebidas-y-licores/vinos-y-espumantes/espumantes
 - Jugos | Vinos botellón y otros -> https://www.unimarc.cl/category/bebidas-y-licores/vinos-y-espumantes/vinos-botellon-y-otros
 - Jugos | Vino Late harvest -> https://www.unimarc.cl/category/bebidas-y-licores/vinos-y-espumantes/vino-late-harvest
 - Jugos | Vino rosé -> https://www.unimarc.cl/category/bebidas-y-licores/vinos-y-espumantes/vino-rose
 - Jugos | Destilados y licores -> https://www.unimarc.cl/category/bebidas-y-licores/destilados-y-licores
 - Jugos | Cóctel -> https://www.unimarc.cl/category/bebidas-y-licores/destilados-y-licores/coctel
 - Jugos | Piscos -> https://www.unimarc.cl/category/bebidas-y-licores/destilados-y-licores/piscos
 - Jugos | Ron -> https://www.unimarc.cl/category/bebidas-y-licores/destilados-y-licores/ron
 - Jugos | Vodka -> https://www.unimarc.cl/category/bebidas-y-licores/destilados-y-licores/vodka
 - Jugos | Gin -> https://www.unimarc.cl/category/bebidas-y-licores/destilados-y-licores/gin
 - Jugos | Whisky -> https://www.unimarc.cl/category/bebidas-y-licores/destilados-y-licores/whisky
 - Jugos | Otros licores -> https://www.unimarc.cl/category/bebidas-y-licores/destilados-y-licores/otros-licores
 - Cervezas | Aguas -> https://www.unimarc.cl/category/bebidas-y-licores/aguas
 - Cervezas | Agua sin gas -> https://www.unimarc.cl/category/bebidas-y-licores/aguas/agua-sin-gas
 - Cervezas | Agua con gas -> https://www.unimarc.cl/category/bebidas-y-licores/aguas/agua-con-gas
 - Cervezas | Agua saborizada -> https://www.unimarc.cl/category/bebidas-y-licores/aguas/agua-saborizada
 - Cervezas | Bidones -> https://www.unimarc.cl/category/bebidas-y-licores/aguas/bidones
 - Cervezas | Bebidas -> https://www.unimarc.cl/category/bebidas-y-licores/bebidas
 - Cervezas | Bebidas regulares -> https://www.unimarc.cl/category/bebidas-y-licores/bebidas/bebidas-regulares
 - Cervezas | Bebidas light y zero -> https://www.unimarc.cl/category/bebidas-y-licores/bebidas/bebidas-light-y-zero
 - Cervezas | Energéticas -> https://www.unimarc.cl/category/bebidas-y-licores/bebidas/energeticas
 - Cervezas | Funcionales -> https://www.unimarc.cl/category/bebidas-y-licores/bebidas/funcionales
 - Cervezas | Jugos -> https://www.unimarc.cl/category/bebidas-y-licores/jugos
 - Cervezas | Jugos frescos -> https://www.unimarc.cl/category/bebidas-y-licores/jugos/jugos-frescos
 - Cervezas | Jugos y néctares -> https://www.unimarc.cl/category/bebidas-y-licores/jugos/jugos-y-nectares
 - Cervezas | Té líquido -> https://www.unimarc.cl/category/bebidas-y-licores/jugos/te-liquido
 - Cervezas | Jugos en polvo -> https://www.unimarc.cl/category/bebidas-y-licores/jugos/jugos-en-polvo
 - Cervezas | Jugos colación -> https://www.unimarc.cl/category/bebidas-y-licores/jugos/jugos-colacion
 - Cervezas | Cervezas -> https://www.unimarc.cl/category/bebidas-y-licores/cervezas
 - Cervezas | Cerveza nacional -> https://www.unimarc.cl/category/bebidas-y-licores/cervezas/cerveza-nacional
 - Cervezas | Cerveza importada -> https://www.unimarc.cl/category/bebidas-y-licores/cervezas/cerveza-importada
 - Cervezas | Cerveza artesanal -> https://www.unimarc.cl/category/bebidas-y-licores/cervezas/cerveza-artesanal
 - Cervezas | Cerveza sin alcohol -> https://www.unimarc.cl/category/bebidas-y-licores/cervezas/cerveza-sin-alcohol
 - Cervezas | Vinos y espumantes -> https://www.unimarc.cl/category/bebidas-y-licores/vinos-y-espumantes
 - Cervezas | Vino tinto -> https://www.unimarc.cl/category/bebidas-y-licores/vinos-y-espumantes/vino-tinto
 - Cervezas | Vino blanco -> https://www.unimarc.cl/category/bebidas-y-licores/vinos-y-espumantes/vino-blanco
 - Cervezas | Vino caja -> https://www.unimarc.cl/category/bebidas-y-licores/vinos-y-espumantes/vino-caja
 - Cervezas | Espumantes -> https://www.unimarc.cl/category/bebidas-y-licores/vinos-y-espumantes/espumantes
 - Cervezas | Vinos botellón y otros -> https://www.unimarc.cl/category/bebidas-y-licores/vinos-y-espumantes/vinos-botellon-y-otros
 - Cervezas | Vino Late harvest -> https://www.unimarc.cl/category/bebidas-y-licores/vinos-y-espumantes/vino-late-harvest
 - Cervezas | Vino rosé -> https://www.unimarc.cl/category/bebidas-y-licores/vinos-y-espumantes/vino-rose
 - Cervezas | Destilados y licores -> https://www.unimarc.cl/category/bebidas-y-licores/destilados-y-licores
 - Cervezas | Cóctel -> https://www.unimarc.cl/category/bebidas-y-licores/destilados-y-licores/coctel
 - Cervezas | Piscos -> https://www.unimarc.cl/category/bebidas-y-licores/destilados-y-licores/piscos
 - Cervezas | Ron -> https://www.unimarc.cl/category/bebidas-y-licores/destilados-y-licores/ron
 - Cervezas | Vodka -> https://www.unimarc.cl/category/bebidas-y-licores/destilados-y-licores/vodka
 - Cervezas | Gin -> https://www.unimarc.cl/category/bebidas-y-licores/destilados-y-licores/gin
 - Cervezas | Whisky -> https://www.unimarc.cl/category/bebidas-y-licores/destilados-y-licores/whisky
 - Cervezas | Otros licores -> https://www.unimarc.cl/category/bebidas-y-licores/destilados-y-licores/otros-licores
 - Vinos y espumantes | Aguas -> https://www.unimarc.cl/category/bebidas-y-licores/aguas
 - Vinos y espumantes | Agua sin gas -> https://www.unimarc.cl/category/bebidas-y-licores/aguas/agua-sin-gas
 - Vinos y espumantes | Agua con gas -> https://www.unimarc.cl/category/bebidas-y-licores/aguas/agua-con-gas
 - Vinos y espumantes | Agua saborizada -> https://www.unimarc.cl/category/bebidas-y-licores/aguas/agua-saborizada
 - Vinos y espumantes | Bidones -> https://www.unimarc.cl/category/bebidas-y-licores/aguas/bidones
 - Vinos y espumantes | Bebidas -> https://www.unimarc.cl/category/bebidas-y-licores/bebidas
 - Vinos y espumantes | Bebidas regulares -> https://www.unimarc.cl/category/bebidas-y-licores/bebidas/bebidas-regulares
 - Vinos y espumantes | Bebidas light y zero -> https://www.unimarc.cl/category/bebidas-y-licores/bebidas/bebidas-light-y-zero
 - Vinos y espumantes | Energéticas -> https://www.unimarc.cl/category/bebidas-y-licores/bebidas/energeticas
 - Vinos y espumantes | Funcionales -> https://www.unimarc.cl/category/bebidas-y-licores/bebidas/funcionales
 - Vinos y espumantes | Jugos -> https://www.unimarc.cl/category/bebidas-y-licores/jugos
 - Vinos y espumantes | Jugos frescos -> https://www.unimarc.cl/category/bebidas-y-licores/jugos/jugos-frescos
 - Vinos y espumantes | Jugos y néctares -> https://www.unimarc.cl/category/bebidas-y-licores/jugos/jugos-y-nectares
 - Vinos y espumantes | Té líquido -> https://www.unimarc.cl/category/bebidas-y-licores/jugos/te-liquido
 - Vinos y espumantes | Jugos en polvo -> https://www.unimarc.cl/category/bebidas-y-licores/jugos/jugos-en-polvo
 - Vinos y espumantes | Jugos colación -> https://www.unimarc.cl/category/bebidas-y-licores/jugos/jugos-colacion
 - Vinos y espumantes | Cervezas -> https://www.unimarc.cl/category/bebidas-y-licores/cervezas
 - Vinos y espumantes | Cerveza nacional -> https://www.unimarc.cl/category/bebidas-y-licores/cervezas/cerveza-nacional
 - Vinos y espumantes | Cerveza importada -> https://www.unimarc.cl/category/bebidas-y-licores/cervezas/cerveza-importada
 - Vinos y espumantes | Cerveza artesanal -> https://www.unimarc.cl/category/bebidas-y-licores/cervezas/cerveza-artesanal
 - Vinos y espumantes | Cerveza sin alcohol -> https://www.unimarc.cl/category/bebidas-y-licores/cervezas/cerveza-sin-alcohol
 - Vinos y espumantes | Vinos y espumantes -> https://www.unimarc.cl/category/bebidas-y-licores/vinos-y-espumantes
 - Vinos y espumantes | Vino tinto -> https://www.unimarc.cl/category/bebidas-y-licores/vinos-y-espumantes/vino-tinto
 - Vinos y espumantes | Vino blanco -> https://www.unimarc.cl/category/bebidas-y-licores/vinos-y-espumantes/vino-blanco
 - Vinos y espumantes | Vino caja -> https://www.unimarc.cl/category/bebidas-y-licores/vinos-y-espumantes/vino-caja
 - Vinos y espumantes | Espumantes -> https://www.unimarc.cl/category/bebidas-y-licores/vinos-y-espumantes/espumantes
 - Vinos y espumantes | Vinos botellón y otros -> https://www.unimarc.cl/category/bebidas-y-licores/vinos-y-espumantes/vinos-botellon-y-otros
 - Vinos y espumantes | Vino Late harvest -> https://www.unimarc.cl/category/bebidas-y-licores/vinos-y-espumantes/vino-late-harvest
 - Vinos y espumantes | Vino rosé -> https://www.unimarc.cl/category/bebidas-y-licores/vinos-y-espumantes/vino-rose
 - Vinos y espumantes | Destilados y licores -> https://www.unimarc.cl/category/bebidas-y-licores/destilados-y-licores
 - Vinos y espumantes | Cóctel -> https://www.unimarc.cl/category/bebidas-y-licores/destilados-y-licores/coctel
 - Vinos y espumantes | Piscos -> https://www.unimarc.cl/category/bebidas-y-licores/destilados-y-licores/piscos
 - Vinos y espumantes | Ron -> https://www.unimarc.cl/category/bebidas-y-licores/destilados-y-licores/ron
 - Vinos y espumantes | Vodka -> https://www.unimarc.cl/category/bebidas-y-licores/destilados-y-licores/vodka
 - Vinos y espumantes | Gin -> https://www.unimarc.cl/category/bebidas-y-licores/destilados-y-licores/gin
 - Vinos y espumantes | Whisky -> https://www.unimarc.cl/category/bebidas-y-licores/destilados-y-licores/whisky
 - Vinos y espumantes | Otros licores -> https://www.unimarc.cl/category/bebidas-y-licores/destilados-y-licores/otros-licores
 - Destilados y licores | Aguas -> https://www.unimarc.cl/category/bebidas-y-licores/aguas
 - Destilados y licores | Agua sin gas -> https://www.unimarc.cl/category/bebidas-y-licores/aguas/agua-sin-gas
 - Destilados y licores | Agua con gas -> https://www.unimarc.cl/category/bebidas-y-licores/aguas/agua-con-gas
 - Destilados y licores | Agua saborizada -> https://www.unimarc.cl/category/bebidas-y-licores/aguas/agua-saborizada
 - Destilados y licores | Bidones -> https://www.unimarc.cl/category/bebidas-y-licores/aguas/bidones
 - Destilados y licores | Bebidas -> https://www.unimarc.cl/category/bebidas-y-licores/bebidas
 - Destilados y licores | Bebidas regulares -> https://www.unimarc.cl/category/bebidas-y-licores/bebidas/bebidas-regulares
 - Destilados y licores | Bebidas light y zero -> https://www.unimarc.cl/category/bebidas-y-licores/bebidas/bebidas-light-y-zero
 - Destilados y licores | Energéticas -> https://www.unimarc.cl/category/bebidas-y-licores/bebidas/energeticas
 - Destilados y licores | Funcionales -> https://www.unimarc.cl/category/bebidas-y-licores/bebidas/funcionales
 - Destilados y licores | Jugos -> https://www.unimarc.cl/category/bebidas-y-licores/jugos
 - Destilados y licores | Jugos frescos -> https://www.unimarc.cl/category/bebidas-y-licores/jugos/jugos-frescos
 - Destilados y licores | Jugos y néctares -> https://www.unimarc.cl/category/bebidas-y-licores/jugos/jugos-y-nectares
 - Destilados y licores | Té líquido -> https://www.unimarc.cl/category/bebidas-y-licores/jugos/te-liquido
 - Destilados y licores | Jugos en polvo -> https://www.unimarc.cl/category/bebidas-y-licores/jugos/jugos-en-polvo
 - Destilados y licores | Jugos colación -> https://www.unimarc.cl/category/bebidas-y-licores/jugos/jugos-colacion
 - Destilados y licores | Cervezas -> https://www.unimarc.cl/category/bebidas-y-licores/cervezas
 - Destilados y licores | Cerveza nacional -> https://www.unimarc.cl/category/bebidas-y-licores/cervezas/cerveza-nacional
 - Destilados y licores | Cerveza importada -> https://www.unimarc.cl/category/bebidas-y-licores/cervezas/cerveza-importada
 - Destilados y licores | Cerveza artesanal -> https://www.unimarc.cl/category/bebidas-y-licores/cervezas/cerveza-artesanal
 - Destilados y licores | Cerveza sin alcohol -> https://www.unimarc.cl/category/bebidas-y-licores/cervezas/cerveza-sin-alcohol
 - Destilados y licores | Vinos y espumantes -> https://www.unimarc.cl/category/bebidas-y-licores/vinos-y-espumantes
 - Destilados y licores | Vino tinto -> https://www.unimarc.cl/category/bebidas-y-licores/vinos-y-espumantes/vino-tinto
 - Destilados y licores | Vino blanco -> https://www.unimarc.cl/category/bebidas-y-licores/vinos-y-espumantes/vino-blanco
 - Destilados y licores | Vino caja -> https://www.unimarc.cl/category/bebidas-y-licores/vinos-y-espumantes/vino-caja
 - Destilados y licores | Espumantes -> https://www.unimarc.cl/category/bebidas-y-licores/vinos-y-espumantes/espumantes
 - Destilados y licores | Vinos botellón y otros -> https://www.unimarc.cl/category/bebidas-y-licores/vinos-y-espumantes/vinos-botellon-y-otros
 - Destilados y licores | Vino Late harvest -> https://www.unimarc.cl/category/bebidas-y-licores/vinos-y-espumantes/vino-late-harvest
 - Destilados y licores | Vino rosé -> https://www.unimarc.cl/category/bebidas-y-licores/vinos-y-espumantes/vino-rose
 - Destilados y licores | Destilados y licores -> https://www.unimarc.cl/category/bebidas-y-licores/destilados-y-licores
 - Destilados y licores | Cóctel -> https://www.unimarc.cl/category/bebidas-y-licores/destilados-y-licores/coctel
 - Destilados y licores | Piscos -> https://www.unimarc.cl/category/bebidas-y-licores/destilados-y-licores/piscos
 - Destilados y licores | Ron -> https://www.unimarc.cl/category/bebidas-y-licores/destilados-y-licores/ron
 - Destilados y licores | Vodka -> https://www.unimarc.cl/category/bebidas-y-licores/destilados-y-licores/vodka
 - Destilados y licores | Gin -> https://www.unimarc.cl/category/bebidas-y-licores/destilados-y-licores/gin
 - Destilados y licores | Whisky -> https://www.unimarc.cl/category/bebidas-y-licores/destilados-y-licores/whisky
 - Destilados y licores | Otros licores -> https://www.unimarc.cl/category/bebidas-y-licores/destilados-y-licores/otros-licores

Scrape: [Aguas] Aguas
  productos únicos: 75

Scrape: [Aguas] Agua sin gas
  productos únicos: 12

Scrape: [Aguas] Agua con gas
  productos únicos: 20

Scrape: [Aguas] Agua saborizada
  productos únicos: 41

Scrape: [Aguas] Bidones
  productos únicos: 2

Scrape: [Aguas] Bebidas
  productos únicos: 100

Scrape: [Aguas] Bebidas regulares
  productos únicos: 77

Scrape: [Aguas] Bebidas light y zero
  productos únicos: 61

Scrape: [Aguas] Energéticas
  productos únicos: 27

Scrape: [Aguas] Funcionales
  productos únicos: 45

Scrape: [Aguas] Jugos
  productos únicos: 100

Scrape: [Aguas] Jugos frescos
  productos únicos: 27

Scrape: [Aguas] Jugos y néctares
  productos únicos: 75

Scrape: [Aguas] Té líquido
  productos únicos: 12

Scrape: [Aguas] Jugos en polvo
  productos únicos: 43

Scrape: [Aguas] Jugos colación
  productos únicos: 29

Scrape: [Aguas] Cervezas
  productos únicos: 0

Scrape: [Aguas] Cerveza nacional
  productos únicos: 41

Scrape: [Aguas] Cerveza importada
  productos únicos: 45

Scrape: [Aguas] Cerveza artesanal
  productos únicos: 64

Scrape: [Aguas] Cerveza sin alcohol
  productos únicos: 16

Scrape: [Aguas] Vinos y espumantes
  productos únicos: 100

Scrape: [Aguas] Vino tinto
  productos únicos: 100

Scrape: [Aguas] Vino blanco
  productos únicos: 72

Scrape: [Aguas] Vino caja
  productos únicos: 28

Scrape: [Aguas] Espumantes
  productos únicos: 65

Scrape: [Aguas] Vinos botellón y otros
  productos únicos: 47

Scrape: [Aguas] Vino Late harvest
  productos únicos: 11

Scrape: [Aguas] Vino rosé
  productos únicos: 8

Scrape: [Aguas] Destilados y licores
  productos únicos: 100

Scrape: [Aguas] Cóctel
  productos únicos: 73

Scrape: [Aguas] Piscos
  productos únicos: 65

Scrape: [Aguas] Ron
  productos únicos: 19

Scrape: [Aguas] Vodka
  productos únicos: 17

Scrape: [Aguas] Gin
  productos únicos: 28

Scrape: [Aguas] Whisky
  productos únicos: 49

Scrape: [Aguas] Otros licores
  productos únicos: 41

Scrape: [Bebidas] Aguas
  productos únicos: 75

Scrape: [Bebidas] Agua sin gas
  productos únicos: 12

Scrape: [Bebidas] Agua con gas
  productos únicos: 20

Scrape: [Bebidas] Agua saborizada
  productos únicos: 41

Scrape: [Bebidas] Bidones
  productos únicos: 2

Scrape: [Bebidas] Bebidas
  productos únicos: 100

Scrape: [Bebidas] Bebidas regulares
  productos únicos: 77

Scrape: [Bebidas] Bebidas light y zero
  productos únicos: 61

Scrape: [Bebidas] Energéticas
  productos únicos: 27

Scrape: [Bebidas] Funcionales
  productos únicos: 45

Scrape: [Bebidas] Jugos
  productos únicos: 100

Scrape: [Bebidas] Jugos frescos
  productos únicos: 27

Scrape: [Bebidas] Jugos y néctares
  productos únicos: 75

Scrape: [Bebidas] Té líquido
  productos únicos: 12

Scrape: [Bebidas] Jugos en polvo
  productos únicos: 43

Scrape: [Bebidas] Jugos colación
  productos únicos: 29

Scrape: [Bebidas] Cervezas
  productos únicos: 100

Scrape: [Bebidas] Cerveza nacional
  productos únicos: 41

Scrape: [Bebidas] Cerveza importada
  productos únicos: 45

Scrape: [Bebidas] Cerveza artesanal
  productos únicos: 64

Scrape: [Bebidas] Cerveza sin alcohol
  productos únicos: 16

Scrape: [Bebidas] Vinos y espumantes
  productos únicos: 100

Scrape: [Bebidas] Vino tinto
  productos únicos: 100

Scrape: [Bebidas] Vino blanco
  productos únicos: 72

Scrape: [Bebidas] Vino caja
  productos únicos: 28

Scrape: [Bebidas] Espumantes
  productos únicos: 65

Scrape: [Bebidas] Vinos botellón y otros
  productos únicos: 47

Scrape: [Bebidas] Vino Late harvest
  productos únicos: 11

Scrape: [Bebidas] Vino rosé
  productos únicos: 8

