
Subcategorías detectadas en [Limpieza]: 216
 - Detergente | Detergente -> https://www.unimarc.cl/category/limpieza/detergente
 - Pisos y muebles | Toalla papel -> https://www.unimarc.cl/category/limpieza/papeles/toalla-papel
 - Pisos y muebles | Servilletas -> https://www.unimarc.cl/category/limpieza/papeles/servilletas
 - Pisos y muebles | Pañuelos desechables -> https://www.unimarc.cl/category/limpieza/papeles/panuelos-desechables
 - Pisos y muebles | Baño y cocina -> https://www.unimarc.cl/category/limpieza/bano-y-cocina
 - Pisos y muebles | Lavalozas y lavavajillas -> https://www.unimarc.cl/category/limpieza/bano-y-cocina/lavalozas-y-lavavajillas
 - Pisos y muebles | Limpiador crema -> https://www.unimarc.cl/category/limpieza/bano-y-cocina/limpiador-crema
 - Pisos y muebles | Limpiador antigrasa -> https://www.unimarc.cl/category/limpieza/bano-y-cocina/limpiador-antigrasa
 - Pisos y muebles | Limpiador baño -> https://www.unimarc.cl/category/limpieza/bano-y-cocina/limpiador-bano
 - Pisos y muebles | Cloro -> https://www.unimarc.cl/category/limpieza/bano-y-cocina/cloro
 - Pisos y muebles | Paños, esponjas y guantes -> https://www.unimarc.cl/category/limpieza/bano-y-cocina/panos-esponjas-y-guantes
 - Pisos y muebles | Sopapos -> https://www.unimarc.cl/category/limpieza/bano-y-cocina/sopapos
 - Pisos y muebles | Limpieza hogar -> https://www.unimarc.cl/category/limpieza/limpieza-hogar
 - Pisos y muebles | Aerosoles y desinfectantes -> https://www.unimarc.cl/category/limpieza/limpieza-hogar/aerosoles-y-desinfectantes
 - Pisos y muebles | Limpiador vidrios y multiusos -> https://www.unimarc.cl/category/limpieza/limpieza-hogar/limpiador-vidrios-y-multiusos
 - Pisos y muebles | Insecticidas -> https://www.unimarc.cl/category/limpieza/limpieza-hogar/insecticidas
 - Pisos y muebles | Velas y fósforos -> https://www.unimarc.cl/category/limpieza/limpieza-hogar/velas-y-fosforos
 - Pisos y muebles | Pisos y muebles -> https://www.unimarc.cl/category/limpieza/pisos-y-muebles
 - Pisos y muebles | Limpiador pisos -> https://www.unimarc.cl/category/limpieza/pisos-y-muebles/limpiador-pisos
 - Pisos y muebles | Limpiador alfombra -> https://www.unimarc.cl/category/limpieza/pisos-y-muebles/limpiador-alfombra
 - Pisos y muebles | Lustramuebles -> https://www.unimarc.cl/category/limpieza/pisos-y-muebles/lustramuebles
 - Pisos y muebles | Ceras -> https://www.unimarc.cl/category/limpieza/pisos-y-muebles/ceras
 - Pisos y muebles | Paños, traperos, mopas y baldes -> https://www.unimarc.cl/category/limpieza/pisos-y-muebles/panos-traperos-mopas-y-baldes
 - Pisos y muebles | Escobas, palas, virutillas y plumeros -> https://www.unimarc.cl/category/limpieza/pisos-y-muebles/escobas-palas-virutillas-y-plumeros
 - Pisos y muebles | Accesorios aseo -> https://www.unimarc.cl/category/limpieza/accesorios-aseo
 - Pisos y muebles | Bolsa basura -> https://www.unimarc.cl/category/limpieza/accesorios-aseo/bolsa-basura
 - Pisos y muebles | Limpieza calzado y ropa -> https://www.unimarc.cl/category/limpieza/accesorios-aseo/limpieza-calzado-y-ropa
 - Pisos y muebles | Otros accesorios aseo -> https://www.unimarc.cl/category/limpieza/accesorios-aseo/otros-accesorios-aseo
 - Accesorios aseo | Detergente -> https://www.unimarc.cl/category/limpieza/detergente
 - Accesorios aseo | Detergente líquido -> https://www.unimarc.cl/category/limpieza/detergente/detergente-liquido
 - Accesorios aseo | Detergente polvo -> https://www.unimarc.cl/category/limpieza/detergente/detergente-polvo
 - Accesorios aseo | Detergente en cápsulas -> https://www.unimarc.cl/category/limpieza/detergente/detergente-en-capsulas
 - Accesorios aseo | Detergente en barra -> https://www.unimarc.cl/category/limpieza/detergente/detergente-en-barra
 - Accesorios aseo | Tratamiento ropa -> https://www.unimarc.cl/category/limpieza/detergente/tratamiento-ropa
 - Accesorios aseo | Suavizante -> https://www.unimarc.cl/category/limpieza/detergente/suavizante
 - Accesorios aseo | Papeles -> https://www.unimarc.cl/category/limpieza/papeles
 - Accesorios aseo | Papel higiénico -> https://www.unimarc.cl/category/limpieza/papeles/papel-higienico
 - Accesorios aseo | Toalla papel -> https://www.unimarc.cl/category/limpieza/papeles/toalla-papel
 - Accesorios aseo | Servilletas -> https://www.unimarc.cl/category/limpieza/papeles/servilletas
 - Accesorios aseo | Pañuelos desechables -> https://www.unimarc.cl/category/limpieza/papeles/panuelos-desechables
 - Accesorios aseo | Baño y cocina -> https://www.unimarc.cl/category/limpieza/bano-y-cocina
 - Accesorios aseo | Lavalozas y lavavajillas -> https://www.unimarc.cl/category/limpieza/bano-y-cocina/lavalozas-y-lavavajillas
 - Accesorios aseo | Limpiador crema -> https://www.unimarc.cl/category/limpieza/bano-y-cocina/limpiador-crema
 - Accesorios aseo | Limpiador antigrasa -> https://www.unimarc.cl/category/limpieza/bano-y-cocina/limpiador-antigrasa
 - Accesorios aseo | Limpiador baño -> https://www.unimarc.cl/category/limpieza/bano-y-cocina/limpiador-bano
 - Accesorios aseo | Cloro -> https://www.unimarc.cl/category/limpieza/bano-y-cocina/cloro
 - Accesorios aseo | Paños, esponjas y guantes -> https://www.unimarc.cl/category/limpieza/bano-y-cocina/panos-esponjas-y-guantes
 - Accesorios aseo | Sopapos -> https://www.unimarc.cl/category/limpieza/bano-y-cocina/sopapos
 - Accesorios aseo | Limpieza hogar -> https://www.unimarc.cl/category/limpieza/limpieza-hogar
 - Accesorios aseo | Aerosoles y desinfectantes -> https://www.unimarc.cl/category/limpieza/limpieza-hogar/aerosoles-y-desinfectantes
 - Accesorios aseo | Limpiador vidrios y multiusos -> https://www.unimarc.cl/category/limpieza/limpieza-hogar/limpiador-vidrios-y-multiusos
 - Accesorios aseo | Insecticidas -> https://www.unimarc.cl/category/limpieza/limpieza-hogar/insecticidas
 - Accesorios aseo | Velas y fósforos -> https://www.unimarc.cl/category/limpieza/limpieza-hogar/velas-y-fosforos
 - Accesorios aseo | Pisos y muebles -> https://www.unimarc.cl/category/limpieza/pisos-y-muebles
 - Accesorios aseo | Limpiador pisos -> https://www.unimarc.cl/category/limpieza/pisos-y-muebles/limpiador-pisos
 - Accesorios aseo | Limpiador alfombra -> https://www.unimarc.cl/category/limpieza/pisos-y-muebles/limpiador-alfombra
 - Accesorios aseo | Lustramuebles -> https://www.unimarc.cl/category/limpieza/pisos-y-muebles/lustramuebles
 - Accesorios aseo | Ceras -> https://www.unimarc.cl/category/limpieza/pisos-y-muebles/ceras
 - Accesorios aseo | Paños, traperos, mopas y baldes -> https://www.unimarc.cl/category/limpieza/pisos-y-muebles/panos-traperos-mopas-y-baldes
 - Accesorios aseo | Escobas, palas, virutillas y plumeros -> https://www.unimarc.cl/category/limpieza/pisos-y-muebles/escobas-palas-virutillas-y-plumeros
 - Accesorios aseo | Accesorios aseo -> https://www.unimarc.cl/category/limpieza/accesorios-aseo
 - Accesorios aseo | Bolsa basura -> https://www.unimarc.cl/category/limpieza/accesorios-aseo/bolsa-basura
 - Accesorios aseo | Limpieza calzado y ropa -> https://www.unimarc.cl/category/limpieza/accesorios-aseo/limpieza-calzado-y-ropa
 - Accesorios aseo | Otros accesorios aseo -> https://www.unimarc.cl/category/limpieza/accesorios-aseo/otros-accesorios-aseo

Scrape: [Detergente] Detergente
  productos únicos: 100

Scrape: [Detergente] Detergente líquido
  productos únicos: 36

Scrape: [Detergente] Detergente polvo
  productos únicos: 20

Scrape: [Detergente] Detergente en cápsulas
  productos únicos: 2

Scrape: [Detergente] Detergente en barra
  productos únicos: 3

Scrape: [Detergente] Tratamiento ropa
  productos únicos: 47

Scrape: [Detergente] Suavizante
  productos únicos: 35

Scrape: [Detergente] Papeles
  productos únicos: 81

Scrape: [Detergente] Papel higiénico
  productos únicos: 25

Scrape: [Detergente] Toalla papel
  productos únicos: 22

Scrape: [Detergente] Servilletas
  productos únicos: 23

Scrape: [Detergente] Pañuelos desechables
  productos únicos: 11

Scrape: [Detergente] Baño y cocina
  productos únicos: 100

Scrape: [Detergente] Lavalozas y lavavajillas
  productos únicos: 35

Scrape: [Detergente] Limpiador crema
  productos únicos: 5

Scrape: [Detergente] Limpiador antigrasa
  productos únicos: 18

Scrape: [Detergente] Limpiador baño
  productos únicos: 42

Scrape: [Detergente] Cloro
  productos únicos: 56

Scrape: [Detergente] Paños, esponjas y guantes
  productos únicos: 49

Scrape: [Detergente] Sopapos
  productos únicos: 3

Scrape: [Detergente] Limpieza hogar
  productos únicos: 100

Scrape: [Detergente] Aerosoles y desinfectantes
  productos únicos: 86

Scrape: [Detergente] Limpiador vidrios y multiusos
  productos únicos: 29

Scrape: [Detergente] Insecticidas
  productos únicos: 36

Scrape: [Detergente] Velas y fósforos
  productos únicos: 17

Scrape: [Detergente] Pisos y muebles
  productos únicos: 100

Scrape: [Detergente] Limpiador pisos
  productos únicos: 43

Scrape: [Detergente] Limpiador alfombra
  productos únicos: 1

Scrape: [Detergente] Lustramuebles
  productos únicos: 13

Scrape: [Detergente] Ceras
  productos únicos: 18

Scrape: [Detergente] Paños, traperos, mopas y baldes
  productos únicos: 32

Scrape: [Detergente] Escobas, palas, virutillas y plumeros
  productos únicos: 13

Scrape: [Detergente] Accesorios aseo
  productos únicos: 62

Scrape: [Detergente] Bolsa basura
  productos únicos: 37

Scrape: [Detergente] Limpieza calzado y ropa
  productos únicos: 24

Scrape: [Detergente] Otros accesorios aseo
  productos únicos: 1

Scrape: [Papeles] Detergente
  productos únicos: 100

Scrape: [Papeles] Detergente líquido
  productos únicos: 36

Scrape: [Papeles] Detergente polvo
  productos únicos: 20

Scrape: [Papeles] Detergente en cápsulas
  productos únicos: 2

Scrape: [Papeles] Detergente en barra
  productos únicos: 3

Scrape: [Papeles] Tratamiento ropa
  productos únicos: 47

Scrape: [Papeles] Suavizante
  productos únicos: 35

Scrape: [Papeles] Papeles
  productos únicos: 81

Scrape: [Papeles] Papel higiénico
  productos únicos: 25

Scrape: [Papeles] Toalla papel
  productos únicos: 22

Scrape: [Papeles] Servilletas
  productos únicos: 23

Scrape: [Papeles] Pañuelos desechables
  productos únicos: 11

Scrape: [Papeles] Baño y cocina
  productos únicos: 100

Scrape: [Papeles] Lavalozas y lavavajillas
  productos únicos: 35

Scrape: [Papeles] Limpiador crema
  productos únicos: 5

Scrape: [Papeles] Limpiador antigrasa
  productos únicos: 18

Scrape: [Papeles] Limpiador baño
  productos únicos: 42

Scrape: [Papeles] Cloro
  productos únicos: 56

Scrape: [Papeles] Paños, esponjas y guantes
  productos únicos: 49

Scrape: [Papeles] Sopapos
  productos únicos: 3

Scrape: [Papeles] Limpieza hogar
  productos únicos: 100

Scrape: [Papeles] Aerosoles y desinfectantes
  productos únicos: 86

Scrape: [Papeles] Limpiador vidrios y multiusos
  productos únicos: 29

Scrape: [Papeles] Insecticidas
  productos únicos: 36

Scrape: [Papeles] Velas y fósforos
  productos únicos: 17

Scrape: [Papeles] Pisos y muebles
  productos únicos: 100

Scrape: [Papeles] Limpiador pisos
  productos únicos: 43

Scrape: [Papeles] Limpiador alfombra
  productos únicos: 1

Scrape: [Papeles] Lustramuebles
  productos únicos: 13

Scrape: [Papeles] Ceras
  productos únicos: 18

Scrape: [Papeles] Paños, traperos, mopas y baldes
  productos únicos: 32

Scrape: [Papeles] Escobas, palas, virutillas y plumeros
  productos únicos: 13

Scrape: [Papeles] Accesorios aseo
